id,year_prediction,true_label,prediction
Mexico,2021,38143627.59,36455630.23225923
Germany,2021,43079750.559999995,38575977.63549054
Australia,2021,90741554.60999998,105602809.5699937
Argentina,2021,39317163.58999999,20043745.80857212
